jgi|Callep1130_1|3291859|fgenesh1_kg.1013_#_1_#_OTBYP_transcript_72638	sp|Q90YC0|EF1G_CARAU	sp|Q90YC0|EF1G_CARAU Elongation factor 1-gamma OS=Carassius auratus OX=7957 GN=eef1g PE=2 SV=1	54.286	35	3.22e-05	48.9
jgi|Callep1130_1|3291859|fgenesh1_kg.1013_#_1_#_OTBYP_transcript_72638	sp|Q6PE25|EF1G_DANRE	sp|Q6PE25|EF1G_DANRE Elongation factor 1-gamma OS=Danio rerio OX=7955 GN=eef1g PE=2 SV=1	51.429	35	1.15e-04	47.0
jgi|Callep1130_1|3291859|fgenesh1_kg.1013_#_1_#_OTBYP_transcript_72638	sp|P26642|EF1GA_XENLA	sp|P26642|EF1GA_XENLA Elongation factor 1-gamma-A OS=Xenopus laevis OX=8355 GN=eef1g-a PE=1 SV=1	54.286	35	2.08e-04	46.2
jgi|Callep1130_1|3633180|fgenesh1_kg.4291_#_5_#_OTBYS_OTBYS_transcript_42328	sp|Q6YW46|EF1G2_ORYSJ	sp|Q6YW46|EF1G2_ORYSJ Elongation factor 1-gamma 2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220500 PE=2 SV=2	44.578	249	2.83e-58	200
jgi|Callep1130_1|3633180|fgenesh1_kg.4291_#_5_#_OTBYS_OTBYS_transcript_42328	sp|Q9ZRI7|EF1G1_ORYSJ	sp|Q9ZRI7|EF1G1_ORYSJ Elongation factor 1-gamma 1 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220600 PE=2 SV=1	46.411	209	6.51e-57	197
jgi|Callep1130_1|3633180|fgenesh1_kg.4291_#_5_#_OTBYS_OTBYS_transcript_42328	sp|O04487|EF1G1_ARATH	sp|O04487|EF1G1_ARATH Probable elongation factor 1-gamma 1 OS=Arabidopsis thaliana OX=3702 GN=At1g09640 PE=1 SV=1	46.860	207	2.60e-56	195
jgi|Emihu1|235754|gm1.22500001	sp|O04487|EF1G1_ARATH	sp|O04487|EF1G1_ARATH Probable elongation factor 1-gamma 1 OS=Arabidopsis thaliana OX=3702 GN=At1g09640 PE=1 SV=1	52.778	72	2.85e-17	77.0
jgi|Emihu1|235754|gm1.22500001	sp|Q9ZRI7|EF1G1_ORYSJ	sp|Q9ZRI7|EF1G1_ORYSJ Elongation factor 1-gamma 1 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220600 PE=2 SV=1	47.945	73	5.64e-16	73.6
jgi|Emihu1|235754|gm1.22500001	sp|Q9FUM1|EF1G_PRUAV	sp|Q9FUM1|EF1G_PRUAV Elongation factor 1-gamma OS=Prunus avium OX=42229 PE=2 SV=1	52.632	76	9.47e-16	72.8
jgi|Emihu1|438506|estExtDG_fgenesh_newKGs_kg.C_780041	sp|Q9ZRI7|EF1G1_ORYSJ	sp|Q9ZRI7|EF1G1_ORYSJ Elongation factor 1-gamma 1 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220600 PE=2 SV=1	42.553	188	3.58e-50	170
jgi|Emihu1|438506|estExtDG_fgenesh_newKGs_kg.C_780041	sp|P26642|EF1GA_XENLA	sp|P26642|EF1GA_XENLA Elongation factor 1-gamma-A OS=Xenopus laevis OX=8355 GN=eef1g-a PE=1 SV=1	45.312	192	2.65e-48	165
jgi|Emihu1|438506|estExtDG_fgenesh_newKGs_kg.C_780041	sp|Q6YW46|EF1G2_ORYSJ	sp|Q6YW46|EF1G2_ORYSJ Elongation factor 1-gamma 2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0220500 PE=2 SV=2	42.021	188	5.10e-48	164
