jgi|Callep1130_1|3171784|fgenesh1_kg.411_#_160_#_OTBYS_OTBYS_transcript_84789	sp|P73709|Y1819_SYNY3	sp|P73709|Y1819_SYNY3 Uncharacterized protein slr1819 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=slr1819 PE=4 SV=1	25.391	256	1.72e-10	64.3
jgi|Callep1130_1|3171784|fgenesh1_kg.411_#_160_#_OTBYS_OTBYS_transcript_84789	sp|P73709|Y1819_SYNY3	sp|P73709|Y1819_SYNY3 Uncharacterized protein slr1819 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=slr1819 PE=4 SV=1	29.375	160	6.18e-04	44.3
jgi|Callep1130_1|3171784|fgenesh1_kg.411_#_160_#_OTBYS_OTBYS_transcript_84789	sp|Q52118|YMO3_PANSE	sp|Q52118|YMO3_PANSE Uncharacterized protein in mobD 3'region OS=Pantoea stewartii subsp. stewartii OX=66271 PE=4 SV=1	26.407	231	3.20e-10	63.2
jgi|Callep1130_1|3171784|fgenesh1_kg.411_#_160_#_OTBYS_OTBYS_transcript_84789	sp|Q52118|YMO3_PANSE	sp|Q52118|YMO3_PANSE Uncharacterized protein in mobD 3'region OS=Pantoea stewartii subsp. stewartii OX=66271 PE=4 SV=1	25.105	239	9.64e-07	52.8
jgi|Callep1130_1|3171784|fgenesh1_kg.411_#_160_#_OTBYS_OTBYS_transcript_84789	sp|Q52118|YMO3_PANSE	sp|Q52118|YMO3_PANSE Uncharacterized protein in mobD 3'region OS=Pantoea stewartii subsp. stewartii OX=66271 PE=4 SV=1	25.837	209	4.90e-06	50.4
jgi|Callep1130_1|3171784|fgenesh1_kg.411_#_160_#_OTBYS_OTBYS_transcript_84789	sp|P74221|Y1152_SYNY3	sp|P74221|Y1152_SYNY3 Uncharacterized protein slr1152 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=slr1152 PE=4 SV=1	27.778	234	1.94e-08	58.2
jgi|Callep1130_1|3315321|fgenesh1_kg.1153_#_52_#_OTBYS_OTBYS_transcript_127519	sp|P73709|Y1819_SYNY3	sp|P73709|Y1819_SYNY3 Uncharacterized protein slr1819 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=slr1819 PE=4 SV=1	30.348	201	4.78e-13	70.9
jgi|Callep1130_1|3315321|fgenesh1_kg.1153_#_52_#_OTBYS_OTBYS_transcript_127519	sp|P73709|Y1819_SYNY3	sp|P73709|Y1819_SYNY3 Uncharacterized protein slr1819 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=slr1819 PE=4 SV=1	28.311	219	1.64e-11	66.2
jgi|Callep1130_1|3315321|fgenesh1_kg.1153_#_52_#_OTBYS_OTBYS_transcript_127519	sp|P73709|Y1819_SYNY3	sp|P73709|Y1819_SYNY3 Uncharacterized protein slr1819 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=slr1819 PE=4 SV=1	31.496	127	1.72e-07	54.3
jgi|Callep1130_1|3315321|fgenesh1_kg.1153_#_52_#_OTBYS_OTBYS_transcript_127519	sp|P73709|Y1819_SYNY3	sp|P73709|Y1819_SYNY3 Uncharacterized protein slr1819 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=slr1819 PE=4 SV=1	28.395	162	1.95e-04	45.4
jgi|Callep1130_1|3315321|fgenesh1_kg.1153_#_52_#_OTBYS_OTBYS_transcript_127519	sp|P74221|Y1152_SYNY3	sp|P74221|Y1152_SYNY3 Uncharacterized protein slr1152 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=slr1152 PE=4 SV=1	29.500	200	1.14e-12	69.7
jgi|Callep1130_1|3315321|fgenesh1_kg.1153_#_52_#_OTBYS_OTBYS_transcript_127519	sp|P74221|Y1152_SYNY3	sp|P74221|Y1152_SYNY3 Uncharacterized protein slr1152 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=slr1152 PE=4 SV=1	25.962	208	7.07e-06	49.7
jgi|Callep1130_1|3315321|fgenesh1_kg.1153_#_52_#_OTBYS_OTBYS_transcript_127519	sp|P74221|Y1152_SYNY3	sp|P74221|Y1152_SYNY3 Uncharacterized protein slr1152 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=slr1152 PE=4 SV=1	25.676	222	4.47e-05	47.4
